customer_id,age,gender,city,employment_type,years_employed,annual_income,monthly_income,existing_loan_balance,existing_emi_monthly,credit_score,cibil_score,payment_history_default,credit_inquiry_last_6m,num_open_accounts,num_delinquent_accounts,education_level,marital_status,dependents,home_ownership,property_type,property_value,requested_loan_amount,requested_loan_tenure,pre_approved_limit,monthly_income_after_emi,debt_to_income_ratio,loan_to_income_ratio,estimated_monthly_emi,emi_to_income_ratio,total_monthly_obligation,obligation_to_income_ratio,loan_to_asset_ratio,credit_age_months,approval_status,rejection_reason,approval_type,pan_number,aadhar_number
CUST0001,61,M,Pune,Salaried,25,1723286,221582,394540,27355,687,347,1,1,11,2,Diploma,Divorced,0,Owned,Villa,9498604,4131419,24,2480932,194227,12.35,239.74,199143,89.87,226498,102.22,43.5,155,Rejected,Delinquent Accounts,,MZOKK3550L,238290206256
CUST0002,51,F,Chennai,Salaried,10,3995961,453127,1926275,37732,699,872,4,2,8,0,Post-Graduate,Single,0,Mortgaged,Apartment,5409776,4595511,36,1754753,415395,8.33,115,157958,34.86,195690,43.19,84.95,298,Rejected,Poor Payment History,,WZCEF7623Q,432751946861
CUST0003,37,F,Mumbai,Self-Employed,22,3477945,477247,517923,4835,747,636,2,2,3,0,Diploma,Married,0,Mortgaged,Apartment,9667121,1524945,36,1202127,472412,1.01,43.85,52416,10.98,57251,12,15.77,148,Rejected,Low Credit Score,,TCXJX9251N,32002412798
CUST0004,30,F,Bangalore,Business Owner,26,3713821,244798,1215557,20159,731,325,3,3,14,1,Post-Graduate,Divorced,3,Owned,Villa,3803389,1491538,24,504772,224639,8.23,40.16,71895,29.37,92054,37.6,39.22,165,Rejected,Poor Payment History,,MNLOS1234J,112269076249
CUST0005,43,M,Delhi,Business Owner,3,483062,425573,744699,38810,679,556,4,3,14,1,Post-Graduate,Married,3,Owned,Studio,8525407,2463999,12,1815499,386763,9.12,510.08,221699,52.09,260509,61.21,28.9,16,Rejected,Poor Payment History,,PILKU4225J,435434878166
CUST0006,61,F,Hyderabad,Self-Employed,8,2791518,450695,19870,47605,728,307,2,9,13,0,Diploma,Widowed,2,Mortgaged,Studio,4854385,820488,24,671107,403090,10.56,29.39,39549,8.78,87154,19.34,16.9,143,Rejected,Low Credit Score,,BKWNG8353K,89416532429
CUST0007,41,M,Ahmedabad,Self-Employed,14,3141992,86476,952082,40080,740,552,2,4,1,1,Post-Graduate,Divorced,1,Owned,House,9277198,4890691,60,2175406,46396,46.35,155.66,114815,132.77,154895,179.12,52.72,83,Rejected,Low Credit Score,,MDEMX7494Z,32010125737
CUST0008,45,M,Kolkata,Business Owner,24,4594539,331955,1251772,38088,828,602,0,3,13,0,12th,Divorced,4,Owned,Villa,3651882,519065,12,1108559,293867,11.47,11.3,46703,14.07,84791,25.54,14.21,82,Rejected,Low Credit Score,,BJADX6551L,846648668780
CUST0009,33,F,Bangalore,Business Owner,18,3520468,192280,248683,13216,840,355,1,9,13,2,Graduate,Married,4,Owned,House,3710016,2884372,36,2617334,179064,6.87,81.93,99142,51.56,112358,58.43,77.75,259,Rejected,Delinquent Accounts,,SHUNH2918L,567879157422
CUST0010,33,F,Pune,Self-Employed,15,1103328,176222,1283253,35547,875,825,1,7,14,1,Post-Graduate,Divorced,4,Rented,Studio,7237320,4325889,24,2186213,140675,20.17,392.08,208517,118.33,244064,138.5,59.77,263,Rejected,High EMI Burden,,XGVBZ6551F,804733199951
CUST0011,46,M,Ahmedabad,Salaried,22,4362958,96180,26790,31471,701,773,4,5,8,1,12th,Married,2,Mortgaged,House,2889383,1563807,48,1601681,64709,32.72,35.84,43048,44.76,74519,77.48,54.12,325,Rejected,Poor Payment History,,BDBGI1911B,651729416203
CUST0012,58,M,Ahmedabad,Salaried,23,1343233,199358,1691738,17308,898,327,1,5,3,0,Post-Graduate,Divorced,3,Mortgaged,Villa,7496746,3192195,48,2879499,182050,8.68,237.65,87873,44.08,105181,52.76,42.58,296,Rejected,Low Credit Score,,NOJBS4077O,654457384521
CUST0013,62,F,Ahmedabad,Self-Employed,2,2011741,137856,811721,27532,815,377,3,7,2,1,Graduate,Single,2,Rented,Villa,664053,1716449,60,2013722,110324,19.97,85.32,40296,29.23,67828,49.2,258.48,268,Rejected,Poor Payment History,,NORTK9661F,201125182168
CUST0014,46,F,Mumbai,Salaried,27,829525,355594,448345,34349,874,515,1,6,1,1,12th,Married,4,Mortgaged,Villa,6473544,389102,48,2910860,321245,9.66,46.91,10711,3.01,45060,12.67,6.01,90,Rejected,Low Credit Score,,URKPU5625T,669276551255
CUST0015,25,F,Hyderabad,Self-Employed,10,476615,439568,749074,45445,865,685,4,9,14,2,Graduate,Divorced,1,Owned,Apartment,5782379,1436737,24,648884,394123,10.34,301.45,69254,15.76,114699,26.09,24.85,151,Rejected,Delinquent Accounts,,ZIDCA9574I,433152595266
CUST0016,44,M,Mumbai,Salaried,2,4681932,211141,1536038,5713,728,664,1,9,3,1,Graduate,Widowed,0,Mortgaged,House,3042637,3160006,24,2099254,205428,2.71,67.49,152319,72.14,158032,74.85,103.86,328,Rejected,Low Credit Score,,RAYSP3186W,947925695978
CUST0017,24,M,Pune,Salaried,26,3035988,399032,1588349,49407,679,825,3,7,2,2,12th,Divorced,3,Owned,Studio,8533951,2477074,48,950538,349625,12.38,81.59,68188,17.09,117595,29.47,29.03,47,Rejected,Delinquent Accounts,,JTUEW7888D,486994968251
CUST0018,46,M,Mumbai,Business Owner,17,4901020,135448,1879490,4804,896,611,0,1,2,0,12th,Widowed,3,Rented,Studio,8607317,2897753,24,1087471,130644,3.55,59.13,139678,103.12,144482,106.67,33.67,130,Rejected,Low Credit Score,,OQJHI0969D,136117898265
CUST0019,52,M,Delhi,Business Owner,8,3999391,39397,1134764,10136,755,306,4,8,6,1,12th,Widowed,2,Owned,Studio,4658549,1190805,60,159182,29261,25.73,29.77,27956,70.96,38092,96.69,25.56,172,Rejected,Poor Payment History,,FFNXZ6968P,890872198114
CUST0020,60,M,Hyderabad,Salaried,1,841252,459771,529036,9,700,302,0,0,12,2,Diploma,Single,3,Mortgaged,Apartment,5030889,4543778,12,2546459,459762,0,540.12,408828,88.92,408837,88.92,90.32,246,Rejected,Delinquent Accounts,,XLXES3080J,290028331110
CUST0021,24,M,Hyderabad,Salaried,9,1986293,203031,1790705,19255,730,662,0,7,1,0,12th,Married,4,Mortgaged,Apartment,8911039,4262065,60,2498606,183776,9.48,214.57,100057,49.28,119312,58.77,47.83,285,Rejected,Low Credit Score,,RJPNG1694L,919898990662
CUST0022,43,F,Pune,Business Owner,11,3912610,418944,1713371,23793,782,807,0,3,2,1,12th,Divorced,4,Mortgaged,Villa,9535616,3110087,60,1466808,395151,5.68,79.49,73013,17.43,96806,23.11,32.62,193,Rejected,Loan Amount Exceeds Limit,,IWIMZ2371X,861600681505
CUST0023,55,M,Kolkata,Business Owner,22,2464367,468733,790141,29548,678,573,2,3,14,0,12th,Single,2,Rented,Studio,9462049,360116,24,1801667,439185,6.3,14.61,17358,3.7,46906,10.01,3.81,307,Rejected,Low Credit Score,,ZFZTY6612V,336363655771
CUST0024,34,M,Delhi,Business Owner,16,2204050,144180,648249,37892,781,805,2,4,6,1,12th,Divorced,4,Rented,Apartment,8784960,3068462,12,1288554,106288,26.28,139.22,276086,191.49,313978,217.77,34.93,24,Rejected,Loan Amount Exceeds Limit,,UREOL1082S,454354201097
CUST0025,44,M,Bangalore,Self-Employed,7,444356,91234,1078931,1015,787,314,0,7,3,0,Post-Graduate,Widowed,1,Mortgaged,Villa,2549949,3142146,24,923346,90219,1.11,707.12,151458,166.01,152473,167.12,123.22,73,Rejected,Low Credit Score,,XCOAC4822M,641333150165
CUST0026,47,F,Mumbai,Salaried,29,4698165,64954,711131,27712,833,491,4,4,4,0,Diploma,Married,2,Owned,Studio,8888512,2718137,36,2967340,37242,42.66,57.86,93428,143.84,121140,186.5,30.58,223,Rejected,Poor Payment History,,VBPLT7026C,733186084452
